WS3R MOMENTUM-TRUE ENTRY MECH  -  150 TRADES  -  dr, OPEN and rev EXIT
generated 2026-09-17 23:42:26 UTC

  entry   ws23.py TRIG=3   dr latch ws1Mage/ws13m STOCK no wob
          trigger = first ws3r momentum-true toward dr in the cycle
          hi tf   = highest of ws4..ws12 momentum-true at the trigger bar, else ws3
          open    = ws1x oob run >= 3 bars = 15 s, then back in bounds
  exit    first ws1mage-rev strictly after the open, at the trade OWN dr, wherever it lands.
          No dr-flip fallback. A trade with no such event stays open to the tape end.
  window  2026-09-01 -> 2026-09-06
  source  161 dr cycles -> 7 no trigger -> 4 no entry cross -> 150 trades
  dr      +1 72   -1 78

  #       dr OPEN                 rev EXIT            
  -----------------------------------------------------
  85      -1 09-04 01:09:40       09-04 01:35:45      
  86      +1 09-04 02:00:55       09-04 03:04:50      
  87      -1 09-04 02:50:00       09-04 04:03:30      
  88      +1 09-04 03:06:05       09-04 04:30:00      
  89      -1 09-04 04:04:00       09-04 04:06:40      
  90      +1 09-04 04:34:15       09-04 05:45:55      
  91      -1 09-04 05:55:00       09-04 10:20:00      
  92      +1 09-04 06:03:50       09-04 07:01:35      
  93      -1 09-04 06:32:10       09-04 10:20:00      
  94      +1 09-04 06:52:45       09-04 07:01:35      
  95      -1 09-04 07:56:05       09-04 10:20:00      
  96      +1 09-04 08:02:50       09-04 11:45:15      
  97      -1 09-04 08:37:45       09-04 10:20:00      
  98      +1 09-04 09:02:10       09-04 11:45:15      
  99      -1 09-04 09:28:15       09-04 10:20:00      
  100     +1 09-04 09:40:20       09-04 11:45:15      
  101     -1 09-04 10:04:00       09-04 10:20:00      
  102     +1 09-04 11:15:20       09-04 11:45:15      
  103     -1 09-04 12:34:45       09-04 14:21:05      
  104     +1 09-04 13:36:00       09-05 00:14:45      
  105     -1 09-04 14:14:35       09-04 14:21:05      
  106     +1 09-04 15:42:45       09-05 00:14:45      
  107     -1 09-04 17:55:10       09-04 19:57:40      
  108     +1 09-04 18:09:35       09-05 00:14:45      
  109     -1 09-04 18:33:00       09-04 19:57:40      
  110     +1 09-04 18:48:00       09-05 00:14:45      
  111     +1 09-04 19:06:00       09-05 00:14:45      
  112     -1 09-04 19:13:55       09-04 19:57:40      
  113     +1 09-04 21:45:05       09-05 00:14:45      
  114     -1 09-04 21:59:10       09-05 00:50:25      
  115     +1 09-04 22:49:55       09-05 00:14:45      
  116     -1 09-05 00:03:20       09-05 00:50:25      
  117     +1 09-05 00:18:15       09-05 02:41:35      
  118     -1 09-05 00:55:20       09-05 02:08:40      
  119     +1 09-05 01:16:00       09-05 02:41:35      
  120     -1 09-05 01:53:05       09-05 02:08:40      
  121     -1 09-05 03:11:20       09-05 04:10:00      
  122     +1 09-05 03:31:10       09-05 04:55:45      
  123     -1 09-05 03:38:35       09-05 04:10:00      
  124     +1 09-05 05:01:00       09-05 06:29:25      
  125     -1 09-05 05:07:25       09-05 05:50:30      
  126     +1 09-05 05:16:15       09-05 06:29:25      
  127     -1 09-05 05:46:30       09-05 05:50:30      
  128     +1 09-05 05:59:20       09-05 06:29:25      
  129     -1 09-05 08:01:40       09-05 15:34:35      
  130     +1 09-05 08:16:10       09-05 08:17:30      
  131     -1 09-05 08:39:20       09-05 15:34:35      
  132     +1 09-05 09:00:05       09-05 13:00:00      
  133     -1 09-05 09:32:50       09-05 15:34:35      
  134     -1 09-05 10:42:20       09-05 15:34:35      
  135     +1 09-05 11:11:05       09-05 13:00:00      
  136     -1 09-05 11:19:50       09-05 15:34:35      
  137     +1 09-05 12:00:20       09-05 13:00:00      
  138     -1 09-05 12:21:50       09-05 15:34:35      
  139     +1 09-05 12:43:10       09-05 13:00:00      
  140     -1 09-05 13:41:55       09-05 15:34:35      
  141     +1 09-05 14:31:00       09-05 14:35:20      
  142     -1 09-05 15:22:00       09-05 15:34:35      
  143     +1 09-05 16:01:05       09-05 16:13:20      
  144     -1 09-05 18:06:40       09-07 23:59:55      
  145     +1 09-05 18:30:00       09-05 19:20:25      
  146     -1 09-05 18:46:40       09-07 23:59:55      
  147     +1 09-05 19:34:00       09-05 20:27:50      
  148     -1 09-05 21:03:20       09-07 23:59:55      
  149     +1 09-05 21:28:30       09-07 23:59:55      
  150     -1 09-05 22:11:00       09-07 23:59:55      
