2026-09-03 00:24:42  DatabaseManager             INFO      MySQL connected
2026-09-03 00:24:42  DatabaseManager             INFO      MySQL disconnected
  span 2026-08-03 00:00:00 -> 2026-08-19 00:00:00   276,481 bars
  ws30r flips to true  at dr +1 : 287
  ws30r flips to true  at dr -1 : 287
  ws20r flips to false at dr +1 : 326
  ws20r flips to false at dr -1 : 319
  rows: 1,219

  utc                  event           dr   from      to        
  2026-08-08 11:58:50  ws30r true      +1   sideways  momo      
  2026-08-08 12:15:20  ws20r false     +1   momo      none      
  2026-08-08 12:16:00  ws20r false     +1   momo      none      
  2026-08-08 13:04:25  ws20r false     -1   momo      curl      
  2026-08-08 13:06:55  ws20r false     -1   momo      curl      
  2026-08-08 13:30:00  ws30r true      -1   none      momo      
  2026-08-08 13:31:35  ws30r true      -1   none      momo      
  2026-08-08 13:36:00  ws30r true      -1   curl      momo      
  2026-08-08 14:20:00  ws20r false     -1   momo      sideways  
  2026-08-08 14:24:00  ws20r false     -1   momo      sideways  
  2026-08-08 14:28:00  ws20r false     -1   momo      sideways  
  2026-08-08 14:29:20  ws20r false     -1   momo      sideways  
  2026-08-08 14:32:00  ws20r false     -1   momo      sideways  
  2026-08-08 14:32:25  ws20r false     -1   momo      sideways  
  2026-08-08 15:06:15  ws30r true      -1   none      momo      
  2026-08-08 15:07:35  ws30r true      -1   none      momo      
  2026-08-08 15:08:20  ws30r true      -1   none      momo      
  2026-08-08 15:08:30  ws30r true      -1   none      momo      
  2026-08-08 15:11:50  ws30r true      -1   none      momo      
  2026-08-08 15:54:10  ws30r true      +1   curl      momo      
  2026-08-08 15:55:40  ws30r true      +1   none      momo      
  2026-08-08 15:56:00  ws30r true      +1   curl      momo      
  2026-08-08 15:56:20  ws30r true      +1   curl      momo      
  2026-08-08 15:56:50  ws30r true      +1   curl      momo      
  2026-08-08 15:58:15  ws30r true      +1   curl      momo      
  2026-08-08 15:58:50  ws30r true      +1   curl      momo      
  2026-08-08 15:59:20  ws30r true      +1   curl      momo      
  2026-08-08 16:20:00  ws20r false     +1   momo      sideways  
  2026-08-08 16:22:15  ws20r false     +1   momo      sideways  
