2026-09-03 04:08:53  DatabaseManager             INFO      MySQL connected
2026-09-03 04:08:53  DatabaseManager             INFO      MySQL disconnected
  K_WINDOW 3   MOMO_SLOPE_MIN 1.2   MOMO_R2_MIN 0.5   LEVEL_SLACK 13.9
  ws20r false-flip fires on: sideways or none
  span 2026-08-03 00:00:00 -> 2026-08-19 00:00:00   276,481 bars

  CHECK, the 08-04 run that started this: ws20r dr -1, banked extrema 07:00:10
    momentum-false bars 06:30 to 07:40 under the combined setting: 06:31:00 -> sideways, 06:31:35 -> sideways, 06:31:45 -> sideways, 06:33:45 -> sideways, 06:34:00 -> sideways

  ws30r flips to true  at dr +1 : 324
  ws30r flips to true  at dr -1 : 288
  ws20r flips to false at dr +1 : 337
  ws20r flips to false at dr -1 : 385
  rows: 1,334

  utc                  event           dr   from      to        
  2026-08-06 21:36:20  ws30r true      -1   sideways  momo      
  2026-08-06 21:52:10  ws20r false     +1   momo      sideways  
  2026-08-06 21:52:20  ws20r false     +1   momo      sideways  
  2026-08-06 21:52:45  ws20r false     +1   momo      sideways  
  2026-08-06 21:54:15  ws20r false     +1   momo      sideways  
  2026-08-06 22:29:15  ws20r false     +1   momo      none      
  2026-08-06 22:29:35  ws20r false     +1   momo      none      
  2026-08-06 22:29:45  ws20r false     +1   momo      none      
  2026-08-06 22:31:00  ws20r false     +1   momo      none      
  2026-08-07 00:07:00  ws30r true      +1   curl      momo      
  2026-08-07 00:08:00  ws30r true      +1   curl      momo      
  2026-08-07 01:43:00  ws30r true      +1   sideways  momo      
  2026-08-07 01:43:30  ws30r true      +1   sideways  momo      
  2026-08-07 01:44:50  ws30r true      +1   sideways  momo      
  2026-08-07 01:50:20  ws30r true      +1   none      momo      
  2026-08-07 02:00:00  ws20r false     +1   momo      sideways  
  2026-08-07 02:54:05  ws20r false     -1   momo      sideways  
  2026-08-07 02:57:05  ws20r false     -1   momo      sideways  
  2026-08-07 02:59:10  ws20r false     -1   momo      sideways  
  2026-08-07 03:00:05  ws20r false     -1   momo      sideways  
  2026-08-07 03:02:00  ws20r false     -1   momo      sideways  
  2026-08-07 03:05:10  ws20r false     -1   momo      sideways  
  2026-08-07 03:08:10  ws20r false     -1   momo      sideways  
  2026-08-07 03:19:25  ws20r false     -1   momo      sideways  
  2026-08-07 03:19:40  ws20r false     -1   momo      sideways  
  2026-08-07 03:49:10  ws30r true      -1   curl      momo      
  2026-08-07 03:53:20  ws30r true      -1   curl      momo      
  2026-08-07 03:55:15  ws30r true      -1   curl      momo      
  2026-08-07 04:17:00  ws20r false     -1   momo      sideways  
  2026-08-07 04:17:20  ws20r false     -1   momo      sideways  
  2026-08-07 04:18:05  ws20r false     -1   momo      sideways  
  2026-08-07 04:57:00  ws30r true      -1   sideways  momo      
  2026-08-07 05:40:05  ws20r false     +1   momo      sideways  
  2026-08-07 05:42:00  ws20r false     +1   momo      sideways  
  2026-08-07 05:42:20  ws20r false     +1   momo      sideways  
  2026-08-07 05:42:30  ws20r false     +1   momo      sideways  
  2026-08-07 05:45:45  ws20r false     +1   momo      sideways  
